interaction,birth.rate,sender.converged,iteration,receiver.eu,sender.eu,number.of.states,sender.proportion,sender.convexity,meta.step,receiver.proportion,sender.convex,receiver.converged,sender.entropy,impairment,receiver.entropy
weakest,0.05,False,0,4.869474971622906,4.869474971622906,30,1.0,5.8633716697206894e-10,1,1.0,0,False,0.72851951554872663,0.0,0.87854647489857707
weakest,0.05,False,1,5.115996606889575,5.115996606889575,30,1.0,2.0161857278300708e-09,1,1.0,0,False,0.74777070381578914,0.0,0.88965837485934907
weakest,0.05,False,2,5.47019084144108,5.47019084144108,30,1.0,8.6231890384859861e-08,1,1.0,0,False,0.75501095355282921,0.0,0.88974422103665862
weakest,0.05,False,3,6.1979726120515677,6.1979726120515677,30,1.0,6.2959450707065156e-06,1,1.0,0,False,0.7012180803547865,0.0,0.87129260696737276
weakest,0.05,False,4,7.3706312500822788,7.3706312500822788,30,1.0,0.00050205046910144538,1,1.0,0,False,0.60279769904788794,0.0,0.82743439285521614
weakest,0.05,False,5,8.6349034430576364,8.6349034430576364,30,1.0,0.020011695835313672,1,1.0,0,False,0.45183148285436897,0.0,0.77297072747479034
weakest,0.05,False,6,9.4651783486010537,9.4651783486010537,30,1.0,0.14354684984793356,1,1.0,1,False,0.31182013287660515,0.0,0.73314391248758592
weakest,0.05,False,7,9.785285665590667,9.785285665590667,30,1.0,0.30399788451218118,1,1.0,1,False,0.25271849732270801,0.0,0.70945641821255268
weakest,0.05,False,8,9.9089714102087179,9.9089714102087179,30,1.0,0.460289066933387,1,1.0,1,False,0.19442360462379521,0.0,0.70407863944935711
weakest,0.05,False,9,9.951726586724444,9.951726586724444,30,1.0,0.42878481773197147,1,1.0,1,False,0.21496244900413605,0.0,0.69843235917144897
weakest,0.05,False,10,9.9713008089633313,9.9713008089633313,30,1.0,0.4622716009778372,1,1.0,1,False,0.20392614112635107,0.0,0.69465062024236224
weakest,0.05,False,11,9.9985155278139644,9.9985155278139644,30,1.0,0.46437975105242563,1,1.0,1,False,0.20371011084096102,0.0,0.69239387481957937
weakest,0.05,False,12,10.014053765769766,10.014053765769766,30,1.0,0.44037923035442045,1,1.0,1,False,0.20702661283265056,0.0,0.69362304769363814
weakest,0.05,False,13,10.014391538972024,10.014391538972024,30,1.0,0.46138565659729047,1,1.0,1,False,0.19755622389689062,0.0,0.69325906165524598
weakest,0.05,False,14,10.022004510983527,10.022004510983527,30,1.0,0.53147720619351801,1,1.0,1,False,0.17047725579492243,0.0,0.69589680028914014
weakest,0.05,False,15,10.026363402594191,10.026363402594191,30,1.0,0.44545026194898091,1,1.0,1,False,0.20058846475026965,0.0,0.69468456528571298
weakest,0.05,False,16,10.02598833679207,10.02598833679207,30,1.0,0.46880463416385565,1,1.0,1,False,0.18889790129952555,0.0,0.69514838026918002
weakest,0.05,False,17,10.032712655651611,10.032712655651611,30,1.0,0.45713929130399933,1,1.0,1,False,0.18976925029086797,0.0,0.69654390840906666
weakest,0.05,False,18,10.031991743022505,10.031991743022505,30,1.0,0.50733553310029655,1,1.0,1,False,0.16866396518205445,0.0,0.70159161126709468
weakest,0.05,False,19,10.031737957383582,10.031737957383582,30,1.0,0.4878409767702051,1,1.0,1,False,0.17676882007564459,0.0,0.70079774382650983
weakest,0.05,False,20,10.03620061523336,10.03620061523336,30,1.0,0.54042083123369511,1,1.0,1,False,0.1542398589662663,0.0,0.70550716110522793
weakest,0.05,False,21,10.033800228729351,10.033800228729351,30,1.0,0.53078931320057876,1,1.0,1,False,0.15425283416337182,0.0,0.707948358461709
weakest,0.05,False,22,10.035098440779599,10.035098440779599,30,1.0,0.47290605799594299,1,1.0,1,False,0.1787428418683043,0.0,0.70648989027775666
weakest,0.05,False,23,10.036712358961029,10.036712358961029,30,1.0,0.49214565391031839,1,1.0,1,False,0.16723627737607411,0.0,0.71101741445352418
weakest,0.05,False,24,10.038336271122363,10.038336271122363,30,1.0,0.45512000202213637,1,1.0,1,False,0.18642374648532267,0.0,0.70721281756727505
weakest,0.05,False,25,10.047329553677173,10.047329553677173,30,1.0,0.48107323389320039,1,1.0,1,False,0.17578336161671976,0.0,0.70651053236366201
weakest,0.05,False,26,10.050413285247803,10.050413285247803,30,1.0,0.43940330292690144,1,1.0,1,False,0.19235345416271318,0.0,0.70222803170605741
weakest,0.05,False,27,10.060776052785339,10.060776052785339,30,1.0,0.47862322355101605,1,1.0,1,False,0.17978789741590515,0.0,0.71080103978708031
weakest,0.05,False,28,10.057517076139183,10.057517076139183,30,1.0,0.51081856447000396,1,1.0,1,False,0.16132700287675233,0.0,0.70450790779622563
weakest,0.05,False,29,10.056103883226291,10.056103883226291,30,1.0,0.45129632321524704,1,1.0,1,False,0.18794549959087409,0.0,0.71045708268873853
weakest,0.05,False,30,10.051721773539667,10.051721773539667,30,1.0,0.47162492603112965,1,1.0,1,False,0.17489273829512961,0.0,0.70152668216766556
weakest,0.05,False,31,10.067728354288493,10.067728354288493,30,1.0,0.48354451965577638,1,1.0,1,False,0.16918648674774572,0.0,0.70511200760063375
weakest,0.05,False,32,10.074829352160439,10.074829352160439,30,1.0,0.46900830167839891,1,1.0,1,False,0.17883665560808207,0.0,0.69867556123245722
weakest,0.05,False,33,10.08269401114288,10.08269401114288,30,1.0,0.46016538958359687,1,1.0,1,False,0.18288142204643962,0.0,0.69095245071210465
weakest,0.05,False,34,10.083045088587076,10.083045088587076,30,1.0,0.49900474691648056,1,1.0,1,False,0.1633352698738631,0.0,0.6983305375606299
weakest,0.05,False,35,10.076612098073701,10.076612098073701,30,1.0,0.4855735142710686,1,1.0,1,False,0.16823042875548108,0.0,0.6955675514029136
weakest,0.05,False,36,10.082257301964635,10.082257301964635,30,1.0,0.43950302252644091,1,1.0,1,False,0.18846983451159197,0.0,0.69379790361420468
weakest,0.05,False,37,10.084390788957386,10.084390788957386,30,1.0,0.49379776991528695,1,1.0,1,False,0.17590569641634754,0.0,0.70065628844397743
weakest,0.05,False,38,10.091983053824233,10.091983053824233,30,1.0,0.46131376378801819,1,1.0,1,False,0.18614537447821858,0.0,0.69923862213541255
weakest,0.05,False,39,10.086637818164139,10.086637818164139,30,1.0,0.4963010827437509,1,1.0,1,False,0.17492149969815426,0.0,0.69708352228264914
weakest,0.05,False,40,10.089567306832162,10.089567306832162,30,1.0,0.41012947471745159,1,1.0,1,False,0.20100239432343303,0.0,0.69902071993993187
weakest,0.05,False,41,10.083750802616159,10.083750802616159,30,1.0,0.46514196005347047,1,1.0,1,False,0.18346291131965484,0.0,0.69801254294260651
weakest,0.05,False,42,10.097998657913452,10.097998657913452,30,1.0,0.50793381233872958,1,1.0,1,False,0.16979880902527245,0.0,0.6921126353315461
weakest,0.05,False,43,10.095185300886081,10.095185300886081,30,1.0,0.43848821634445023,1,1.0,1,False,0.19309742999658339,0.0,0.70022190531371209
weakest,0.05,False,44,10.085732152196089,10.085732152196089,30,1.0,0.4515511207809188,1,1.0,1,False,0.19304315190697066,0.0,0.69632302717875416
weakest,0.05,False,45,10.087648560737529,10.087648560737529,30,1.0,0.51024173703811215,1,1.0,1,False,0.16455830089689724,0.0,0.70007354707527081
weakest,0.05,False,46,10.070489836198611,10.070489836198611,30,1.0,0.43784978964346399,1,1.0,1,False,0.18943013889640978,0.0,0.70489561916301091
weakest,0.05,False,47,10.063833584191634,10.063833584191634,30,1.0,0.52251865142744347,1,1.0,1,False,0.15615904592911781,0.0,0.70763942720095119
weakest,0.05,False,48,10.06985139155389,10.06985139155389,30,1.0,0.57429266705603654,1,1.0,1,False,0.14405859723957773,0.0,0.70312594906312342
weakest,0.05,False,49,10.080576932897863,10.080576932897863,30,1.0,0.48864476563100129,1,1.0,1,False,0.17265577971047139,0.0,0.70040364804486999
weakest,0.05,False,50,10.081626025106479,10.081626025106479,30,1.0,0.47009118268700217,1,1.0,1,False,0.18255168725176538,0.0,0.70148463782079606
weakest,0.05,False,51,10.081331582729501,10.081331582729501,30,1.0,0.4516107503088429,1,1.0,1,False,0.1860639485699781,0.0,0.70168938088032873
weakest,0.05,False,52,10.080019041646848,10.080019041646848,30,1.0,0.48555734688402419,1,1.0,1,False,0.17448994743646645,0.0,0.69865816383051949
weakest,0.05,False,53,10.089702791566381,10.089702791566381,30,1.0,0.46642273339940682,1,1.0,1,False,0.18328216430045227,0.0,0.70228659615284272
weakest,0.05,False,54,10.091753793533277,10.091753793533277,30,1.0,0.47791098801023357,1,1.0,1,False,0.17978255817434097,0.0,0.69407293815533067
weakest,0.05,False,55,10.089542069073229,10.089542069073229,30,1.0,0.47246763742348707,1,1.0,1,False,0.17728147496294666,0.0,0.70313348551989896
weakest,0.05,False,56,10.080475904321617,10.080475904321617,30,1.0,0.46747938271300266,1,1.0,1,False,0.18358074773561309,0.0,0.69909321552009607
weakest,0.05,False,57,10.085694308948847,10.085694308948847,30,1.0,0.48499357021405615,1,1.0,1,False,0.17082519107305855,0.0,0.7037141035239568
weakest,0.05,False,58,10.086884908722825,10.086884908722825,30,1.0,0.49754624048737717,1,1.0,1,False,0.17183102310304732,0.0,0.69673551948972678
weakest,0.05,False,59,10.099873663668136,10.099873663668136,30,1.0,0.49468247217466704,1,1.0,1,False,0.17480382849057902,0.0,0.70512129966341364
weakest,0.05,False,60,10.093556585879316,10.093556585879316,30,1.0,0.47299660047170777,1,1.0,1,False,0.17687394292772884,0.0,0.70017254104886539
