Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker strategy file,Hearer strategy file
10,uniform,2,0.0,0.1,replicator dynamics,1.9778707199279253e-10,0.40030451243249687,1.0,0.99999999999999978,1.0,0.97,0.69314718042284973,0.69314718055993552,0.99641196510858587,24,results/strategies/20140813-194307-889271-speaker.csv,results/strategies/20140813-194307-889271-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,0.0001656843930973103,0.22198939380601834,8.186188712642713e-42,1.0,0.9,0.85,0.7801324742398098,0.78031302369287725,0.99159512237398595,21,results/strategies/20140813-194308-589937-speaker.csv,results/strategies/20140813-194308-589937-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,1.4817503653397141e-13,0.25503984932561125,3.0632154604377761e-67,1.0,0.85,0.835,0.78032387413216275,0.78032387413233095,0.99235690019044132,28,results/strategies/20140813-194309-308796-speaker.csv,results/strategies/20140813-194309-308796-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,1.1459253282734487e-19,0.1873047793065841,1.0141327903761915e-81,1.0000000000000002,0.9,0.795,0.71355817782007303,0.71355817782007303,0.99367814317696468,25,results/strategies/20140813-194310-007958-speaker.csv,results/strategies/20140813-194310-007958-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,6.086024969955602e-11,0.19486845359523056,0.99999999999999989,0.99999999999999989,0.9,0.9,0.78032387406202586,0.78032387413077542,0.99154602268057657,21,results/strategies/20140813-194310-631579-speaker.csv,results/strategies/20140813-194310-631579-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,7.2667014511184582e-21,0.24670773178764988,1.131988209836225e-225,1.0,0.85,0.725,0.71355817782007303,0.71355817782003961,0.99152012441646342,26,results/strategies/20140813-194311-307542-speaker.csv,results/strategies/20140813-194311-307542-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,3.6810799151603024e-18,0.17919400798095267,1.0,1.0,0.95,0.945,0.69314718055994529,0.69314718055994529,0.9958046195917728,34,results/strategies/20140813-194312-078306-speaker.csv,results/strategies/20140813-194312-078306-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,7.2074927417687504e-14,0.28633786556528246,5.9140857737577819e-94,0.99999999999999989,0.9,0.77,0.71355817782003128,0.7135581778158695,0.99354396365033537,21,results/strategies/20140813-194312-712806-speaker.csv,results/strategies/20140813-194312-712806-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,3.1819868777687031e-11,0.22468651606765702,3.6000457544035228e-153,1.0,0.85,0.8,0.78032387409557458,0.78032387413154169,0.99094462124315918,25,results/strategies/20140813-194313-375780-speaker.csv,results/strategies/20140813-194313-375780-hearer.csv
10,uniform,2,0.0,0.1,replicator dynamics,1.1485309646233606e-23,0.39499393898341373,1.0,1.0000000000000002,1.0,0.91,0.71355817782007303,0.71355817782007303,0.99510815681222808,28,results/strategies/20140813-194314-111872-speaker.csv,results/strategies/20140813-194314-111872-hearer.csv
