Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker Voronoiness,Hearer Voronoiness,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,0.63402970716833384,0.79165633964899662,0.775,0.685,0.63053299233128979,0
10,uniform,2,0.0,0.1,replicator dynamics,0.10675710508888099,0.56042093633275203,0.8,0.675,0.88659947093454095,5
10,uniform,2,0.0,0.1,replicator dynamics,0.096631411590720986,0.4888048498002085,0.85,0.675,0.91864009899963894,10
10,uniform,2,0.0,0.1,replicator dynamics,0.095253572333447487,0.43151759180253296,0.8,0.715,0.93773919760024693,15
10,uniform,2,0.0,0.1,replicator dynamics,0.08369213033110573,0.37560515969505243,0.9,0.75,0.95955172723031923,20
10,uniform,2,0.0,0.1,replicator dynamics,0.027554749850620012,0.31564186381133341,0.9,0.79,0.97718663527362226,25
10,uniform,2,0.0,0.1,replicator dynamics,0.00024657173164291179,0.26061069217878413,0.9,0.83,0.98840395223572053,30
10,uniform,2,0.0,0.1,replicator dynamics,1.6185229186330489e-08,0.22667438282298469,0.9,0.84,0.99286281746014671,35
10,uniform,2,0.0,0.1,replicator dynamics,5.963769325068442e-15,0.20971708225088906,0.9,0.84,0.99455367441750842,40
10,uniform,2,0.0,0.1,replicator dynamics,1.1418574482326714e-23,0.20206162161530553,0.9,0.84,0.99516854754263617,45
10,uniform,2,0.0,0.1,replicator dynamics,1.1719715785483013e-34,0.19878737603883598,0.9,0.84,0.99538864294674356,50
10,uniform,2,0.0,0.1,replicator dynamics,6.3385427995094259e-48,0.19743174088818258,0.9,0.84,0.99546698414216384,55
10,uniform,2,0.0,0.1,replicator dynamics,1.8254277969944784e-63,0.19688257213150748,0.9,0.84,0.9954948143817034,60
10,uniform,2,0.0,0.1,replicator dynamics,2.1355701193524647e-60,0.19666361124900095,0.9,0.84,0.99550469446937795,65
10,uniform,2,0.0,0.1,replicator dynamics,3.5588131474027034e-51,0.19657737206852255,0.9,0.84,0.99550820138004348,70
10,uniform,2,0.0,0.1,replicator dynamics,9.7924633188363521e-40,0.1965437378884049,0.9,0.84,0.99550944612722703,75
10,uniform,2,0.0,0.1,replicator dynamics,4.1028890117532111e-26,0.19653072557731008,0.9,0.835,0.99550988795837081,80
10,uniform,2,0.0,0.1,replicator dynamics,1.9198522020743139e-10,0.19652572530355222,0.9,0.835,0.99551004479954408,85
10,uniform,2,0.0,0.1,replicator dynamics,1.4111885096192164e-09,0.1969551938454398,0.95,0.835,0.99624148778675881,90
10,uniform,2,0.0,0.1,replicator dynamics,2.5137350304985017e-39,0.19773003989407195,0.95,0.845,0.99625256140238261,95
10,uniform,2,0.0,0.1,replicator dynamics,0.68852863831581579,0.76810822584053495,0.8,0.73,0.56255030601316891,0
10,uniform,2,0.0,0.1,replicator dynamics,0.0041497447090889173,0.4585699754926974,1.0,0.86,0.9434213588365109,5
10,uniform,2,0.0,0.1,replicator dynamics,2.0868415719647899e-08,0.35300377008591427,1.0,0.91,0.97213950144272676,10
10,uniform,2,0.0,0.1,replicator dynamics,4.5656977457021005e-14,0.26914914435152848,1.0,0.9,0.98634645272701249,15
10,uniform,2,0.0,0.1,replicator dynamics,8.2487999031943967e-21,0.22138357187941807,1.0,0.91,0.99224845508510151,20
10,uniform,2,0.0,0.1,replicator dynamics,3.0380888587810773e-28,0.19864292749734944,1.0,0.91,0.99451038727531604,25
10,uniform,2,0.0,0.1,replicator dynamics,4.996960861890435e-36,0.18914431497290507,1.0,0.92,0.99535204117835674,30
10,uniform,2,0.0,0.1,replicator dynamics,5.9982558109962445e-44,0.18587246116693493,1.0,0.92,0.99566406531140916,35
10,uniform,2,0.0,0.1,replicator dynamics,6.6402487357995163e-52,0.18536005284050322,1.0,0.915,0.99578194288861355,40
10,uniform,2,0.0,0.1,replicator dynamics,7.4745231261467879e-60,0.1860319770392872,1.0,0.91,0.99582914442577408,45
10,uniform,2,0.0,0.1,replicator dynamics,8.8244048970207166e-68,0.18720485718099927,1.0,0.91,0.99585072875361003,50
10,uniform,2,0.0,0.1,replicator dynamics,1.0922571134404983e-75,0.18859060671279568,1.0,0.91,0.99586308921628841,55
10,uniform,2,0.0,0.1,replicator dynamics,1.401101714140437e-83,0.19007014488942073,1.0,0.91,0.99587218395170285,60
10,uniform,2,0.0,0.1,replicator dynamics,1.8401134625916132e-91,0.19159492492369018,1.0,0.91,0.9958801782422233,65
10,uniform,2,0.0,0.1,replicator dynamics,2.4523164893961394e-99,0.1931453228529986,1.0,0.89,0.99588785960329484,70
