Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,0.54222350041343792,0
10,uniform,2,0.0,0.1,replicator dynamics,0.96346927196123433,5
10,uniform,2,0.0,0.1,replicator dynamics,0.98244568494328122,10
10,uniform,2,0.0,0.1,replicator dynamics,0.99135934333914855,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99496936230591637,20
10,uniform,2,0.0,0.1,replicator dynamics,0.9963310662811331,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99683425067443265,30
10,uniform,2,0.0,0.1,replicator dynamics,0.9970223619865709,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99709647942910984,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99712953062957377,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99714777427194845,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99716063995446025,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99717151020462591,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99718159759289215,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99719133644347857,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99720088205766011,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99721028973932313,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99721957898517244,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99722875649770615,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99723782443454567,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99724678336483263,100
10,uniform,2,0.0,0.1,replicator dynamics,0.55773496367348652,0
10,uniform,2,0.0,0.1,replicator dynamics,0.96237340758392698,5
10,uniform,2,0.0,0.1,replicator dynamics,0.98221529466327984,10
10,uniform,2,0.0,0.1,replicator dynamics,0.99041384299695268,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99363423655458272,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99483028917380611,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99526512614349627,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99542200273073111,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99547847592197469,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99660513055886679,45
10,uniform,2,0.0,0.1,replicator dynamics,0.9966216544736457,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99663530472621287,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99664826439396226,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99666097483268867,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99667609378979594,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99668871919498114,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99670131989457189,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99671390018135675,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99672645961894257,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99673899606563376,95
