Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,6.8467695201201599e-12,0.4188311008469206,2.3139993174073871e-31,1.0,0.7916666666666666,0.6388888888888888,0.7520386983845776,0.75203869838825521,0.99999983119711655,5,0,1,results/strategies/20140918-142411-295149-speaker.csv,results/strategies/20140918-142411-295149-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.3835354478371677e-14,0.50869900215593067,3.3776927723958633e-22,0.99999999999999978,875,0.7222222222222222,0.69314718055993574,0.69314718055994529,0.99999987384749045,5,0,1,results/strategies/20140918-142411-646956-speaker.csv,results/strategies/20140918-142411-646956-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,9.6877935966371165e-15,0.42146228270737507,1.407347997904392e-24,0.99999999999999989,0.8333333333333334,0.8888888888888888,0.75203869838813198,0.75203869838813731,0.99999984116299134,7,0,1,results/strategies/20140918-142412-002578-speaker.csv,results/strategies/20140918-142412-002578-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.7658944690549786e-18,0.47508137073230355,1.0,1.0,1.0,0.9583333333333334,0.69314718055994529,0.69314718055994529,0.9999999204932174,7,1,1,results/strategies/20140918-142412-360580-speaker.csv,results/strategies/20140918-142412-360580-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.4179841338722995e-20,0.38883215560599049,1.0733247118753843e-25,0.99999999999999989,0.9166666666666666,0.6944444444444444,0.69314718055994529,0.6931471805599454,0.99999990660205407,7,0,1,results/strategies/20140918-142412-719749-speaker.csv,results/strategies/20140918-142412-719749-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.5203824818889189e-10,0.38064980209735538,2.719639368993665e-34,0.99999999999999978,0.75,0.7083333333333334,0.75203869820512637,0.7520386983955446,0.99999982322840397,7,0,1,results/strategies/20140918-142413-078992-speaker.csv,results/strategies/20140918-142413-078992-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.2957208433841375e-10,0.52310186202247955,1.4321276241269225e-32,1.0,0.8333333333333334,0.6666666666666666,0.69314718019287413,0.69314718055993763,0.99999977492835523,6,0,1,results/strategies/20140918-142413-433802-speaker.csv,results/strategies/20140918-142413-433802-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.4484643255288518e-12,0.49095517684098133,1.8749095416162537e-39,0.99999999999999989,0.75,0.5972222222222222,0.69314718055547575,0.69314718055994473,0.99999978945359314,6,0,1,results/strategies/20140918-142413-788202-speaker.csv,results/strategies/20140918-142413-788202-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.8867258424286028e-11,0.55538495201890681,1.1934953489636287e-13,1.0,0.9166666666666666,0.6527777777777778,0.69314718054686764,0.69314718055994495,0.99999989643258846,4,0,1,results/strategies/20140918-142414-146452-speaker.csv,results/strategies/20140918-142414-146452-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.2234753587209673e-09,0.33850943407350798,3.8967499575212553e-47,1.0,0.75,0.7361111111111112,0.69314717901874967,0.69314718055994518,0.99999981893334378,8,0,1,results/strategies/20140918-142414-505385-speaker.csv,results/strategies/20140918-142414-505385-hearer.csv
