Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,2.0044909779754759e-12,0.42525825550494289,1.6935844238894388e-36,1.0,0.8333333333333334,0.625,0.69314718055855606,0.69314718055920754,0.99999982858973835,9,0,1,results/strategies/20150729-104745-427577-speaker.csv,results/strategies/20150729-104745-427577-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.2416892071449156e-08,0.42700374033983157,2.4809681803777392e-09,1.0000000000000002,0.9166666666666666,0.7638888888888888,0.75203869193308703,0.75203868978350075,0.99999985476029551,7,0,1,results/strategies/20150729-104745-895147-speaker.csv,results/strategies/20150729-104745-895147-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.2290390150880299e-07,0.40033610433521705,6.7643375892237958e-29,1.0,0.9166666666666666,0.7083333333333334,0.6931470953694534,0.69314717477230237,0.99999985576128969,8,0,1,results/strategies/20150729-104746-309606-speaker.csv,results/strategies/20150729-104746-309606-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.2918277452448581e-08,0.52250539372819782,2.7250068327738243e-24,0.99999999999999989,0.6666666666666666,0.6805555555555556,0.75203868125387985,0.75203867452297779,0.99999979869863176,4,0,1,results/strategies/20150729-104746-703560-speaker.csv,results/strategies/20150729-104746-703560-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.2599965150746445e-11,0.47567230934954313,3.1740385116716256e-62,0.99999999999999978,0.8333333333333334,0.6527777777777778,0.69314718055121161,0.69314718055934821,0.99999977492964032,9,0,1,results/strategies/20150729-104747-124510-speaker.csv,results/strategies/20150729-104747-124510-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.8681891473116194e-12,0.34441893609063767,9.4254937410196591e-44,1.0,0.9166666666666666,0.7638888888888888,0.75203869838307558,0.75203869838793191,0.99999990546932005,10,0,1,results/strategies/20150729-104747-546724-speaker.csv,results/strategies/20150729-104747-546724-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.4398926658101438e-10,0.28926105462275553,4.0711859678068422e-11,1.0000000000000002,0.8333333333333334,0.8472222222222222,0.6931471803908249,0.693147180558775,0.99999989237836973,8,0,1,results/strategies/20150729-104747-981559-speaker.csv,results/strategies/20150729-104747-981559-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.0753019366114775e-12,0.40645803551002635,6.0502506871713147e-25,1.0,0.6666666666666666,0.5694444444444444,0.69314718055642743,0.69314718055912228,0.99999980693146806,7,0,1,results/strategies/20150729-104748-392018-speaker.csv,results/strategies/20150729-104748-392018-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.4542666582148264e-07,0.3920864765505877,1.9672550281744394e-29,1.0,0.8333333333333334,0.7916666666666666,0.69314701044314719,0.69314717971658146,0.99999981905064106,10,0,1,results/strategies/20150729-104748-810645-speaker.csv,results/strategies/20150729-104748-810645-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.4211469076760765e-10,0.47894610969750218,7.0875132866178262e-65,1.0,0.8333333333333334,0.5972222222222222,0.75203869824037761,0.75203869833931813,0.99999980898883145,8,0,1,results/strategies/20150729-104749-227150-speaker.csv,results/strategies/20150729-104749-227150-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.3738103311988721e-09,0.38594234877015005,3.5037544713850781e-42,1.0,0.7916666666666666,0.7083333333333334,0.69314717822139826,0.69314718054430102,0.99999984156960708,10,0,1,results/strategies/20150729-104749-653449-speaker.csv,results/strategies/20150729-104749-653449-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.5119975852444495e-07,0.54301037272441954,6.0041041785355121e-26,1.0,0.8333333333333334,0.75,0.69314707575626011,0.69314715829806728,0.99999984326849556,7,0,1,results/strategies/20150729-104750-068411-speaker.csv,results/strategies/20150729-104750-068411-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,7.6523505761644903e-10,0.38524162472878037,6.3259559580401811e-48,1.0,0.7916666666666666,0.6944444444444444,0.7520386975925063,0.75203869835630943,0.99999983119589642,9,0,1,results/strategies/20150729-104750-491969-speaker.csv,results/strategies/20150729-104750-491969-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.9658984564828956e-12,0.35602718649630927,4.0585312801868815e-28,1.0000000000000002,0.8333333333333334,0.6944444444444444,0.75203869838297388,0.75203869838756476,0.99999983003020654,7,0,1,results/strategies/20150729-104750-908366-speaker.csv,results/strategies/20150729-104750-908366-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.7161627400349438e-11,0.27256735309663788,8.3635876542715011e-98,1.0000000000000002,0.75,0.6111111111111112,0.69314718051339252,0.69314718055990987,0.99999977492968506,11,0,1,results/strategies/20150729-104751-340716-speaker.csv,results/strategies/20150729-104751-340716-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.3002594361914304e-10,0.48457825359307766,5.3951146556197271e-29,1.0000000000000002,0.75,0.8055555555555556,0.69314718026187405,0.69314718055256197,0.99999983032711048,7,0,1,results/strategies/20150729-104751-759097-speaker.csv,results/strategies/20150729-104751-759097-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.9571320929149092e-12,0.56416099432786837,6.6541454148850268e-24,1.0000000000000002,0.8333333333333334,0.7083333333333334,0.69314718055650948,0.69314718055743807,0.99999987451493744,6,0,1,results/strategies/20150729-104752-176819-speaker.csv,results/strategies/20150729-104752-176819-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.537198798951744e-09,0.43405474295149482,1.4866299737452011e-18,0.99999999999999967,0.8333333333333334,0.7777777777777778,0.69314717810814575,0.69314718040622014,0.99999990513821979,6,0,1,results/strategies/20150729-104752-581916-speaker.csv,results/strategies/20150729-104752-581916-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.6609030814900766e-11,0.51296849181260784,6.6960758662360147e-23,0.99999999999999978,0.9166666666666666,0.6805555555555556,0.75203869831888248,0.75203869835037973,0.99999983119452618,6,0,1,results/strategies/20150729-104752-992731-speaker.csv,results/strategies/20150729-104752-992731-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.8886927918317816e-08,0.44291106617267789,1.1829718053441135e-25,1.0000000000000002,0.8333333333333334,0.625,0.69314716746852445,0.69314717863378617,0.99999982295749745,6,0,1,results/strategies/20150729-104753-408385-speaker.csv,results/strategies/20150729-104753-408385-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.4820919397524736e-09,0.34668954324645784,4.9075491534983415e-68,0.99999999999999978,0.75,0.6111111111111112,0.69314717953263749,0.69314718055614843,0.99999980273251565,12,0,1,results/strategies/20150729-104753-850659-speaker.csv,results/strategies/20150729-104753-850659-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,7.3087612301677737e-12,0.33408171673919779,2.9450793040289925e-38,0.99999999999999989,0.7916666666666666,0.6666666666666666,0.75203869838053805,0.75203869838600579,0.99999988746471158,6,0,1,results/strategies/20150729-104754-281822-speaker.csv,results/strategies/20150729-104754-281822-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.3603522769885032e-07,0.44565914849504906,3.0884504868369279e-08,0.99999999999999978,0.75,0.6666666666666666,0.75203862757084472,0.75203868049720446,0.99999982886033811,5,0,1,results/strategies/20150729-104754-703771-speaker.csv,results/strategies/20150729-104754-703771-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.6831013815648295e-10,0.38012707524627393,2.7654904215795809e-11,0.99999999999999978,0.8333333333333334,0.9166666666666666,0.69314718044328183,0.69314718053915747,0.9999998713680881,7,0,1,results/strategies/20150729-104755-117730-speaker.csv,results/strategies/20150729-104755-117730-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.9770121627909743e-08,0.55564370188059276,4.9932837716665429e-17,1.0,0.875,0.7916666666666666,0.75203864664110964,0.75203867340445962,0.99999983521727853,6,0,1,results/strategies/20150729-104755-531875-speaker.csv,results/strategies/20150729-104755-531875-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.2184268132442869e-12,0.55494231952208672,5.9403894028956305e-34,1.0,0.8333333333333334,0.6111111111111112,0.75203869838583648,0.75203869838712867,0.99999988746478619,6,0,1,results/strategies/20150729-104755-946198-speaker.csv,results/strategies/20150729-104755-946198-hearer.csv
