Number.of.states,Impairment,Tolerance,inGroupDistance
6,0,0.05,0.34367365951813
6,0,0.1,0.328580618337221
6,0,0.2,0.134573387774597
6,0,0.3,0.076123140676745
6,0.05,0.05,0.336290448341544
6,0.05,0.1,0.336474027041641
6,0.05,0.2,0.136653007075636
6,0.05,0.3,0.0804421443889549
6,0.1,0.05,0.305665112259016
6,0.1,0.1,0.210504611659871
6,0.1,0.2,2.07505724718832e-05
6,0.1,0.3,3.73247245019588e-05
6,0.2,0.05,0.000212368532716933
6,0.2,0.1,0.000224339695626865
6,0.2,0.2,0.000261876741381361
6,0.2,0.3,0.000299555762841046
6,0.3,0.05,0.000148278356098818
6,0.3,0.1,0.000153926621177217
6,0.3,0.2,0.000163365803679206
6,0.3,0.3,0.000186187482947522
10,0,0.05,0.371920363773782
10,0,0.1,0.255425475165813
10,0,0.2,0.0759056065369564
10,0,0.3,0.0598624906166002
10,0.05,0.05,0.324126177094163
10,0.05,0.1,0.162878131373991
10,0.05,0.2,0.0240979875393888
10,0.05,0.3,0.00311951615161236
10,0.1,0.05,0.00043768470127755
10,0.1,0.1,0.000406517570788271
10,0.1,0.2,0.00038660156001403
10,0.1,0.3,0.000524819863784797
10,0.2,0.05,0.000191387020468478
10,0.2,0.1,0.000186607562391307
10,0.2,0.2,0.000180405720962297
10,0.2,0.3,0.000170142235131636
10,0.3,0.05,9.22640634930868e-05
10,0.3,0.1,8.72963502757879e-05
10,0.3,0.2,9.58808033010053e-05
10,0.3,0.3,0.000114635519566135
50,0,0.05,0.288702480324017
50,0,0.1,0.170145817031465
50,0,0.2,0.0534393466939767
50,0,0.3,0.0367725357379791
50,0.05,0.05,0.00821613047049596
50,0.05,0.1,0.000440742642576286
50,0.05,0.2,0.000190959522034214
50,0.05,0.3,0.000207529598594418
50,0.1,0.05,0.000142450977056531
50,0.1,0.1,0.000119793009627637
50,0.1,0.2,9.20697525503767e-05
50,0.1,0.3,0.000107849008727702
50,0.2,0.05,3.2116321103022e-05
50,0.2,0.1,3.19055627235518e-05
50,0.2,0.2,3.0095055348166e-05
50,0.2,0.3,3.33005914879112e-05
50,0.3,0.05,1.71789264027646e-05
50,0.3,0.1,1.70835808323554e-05
50,0.3,0.2,1.91583269503287e-05
50,0.3,0.3,2.747349179429e-05
90,0,0.05,0.311212074006991
90,0,0.1,0.17322130748349
90,0,0.2,0.039580632639098
90,0,0.3,0.0284558749891425
90,0.05,0.05,0.00587558773594558
90,0.05,0.1,0.000398679258527717
90,0.05,0.2,0.000105925689210142
90,0.05,0.3,0.00012458526576656
90,0.1,0.05,7.55531286621988e-05
90,0.1,0.1,6.46506491448512e-05
90,0.1,0.2,5.33065438333367e-05
90,0.1,0.3,5.94086110463539e-05
90,0.2,0.05,1.82120411860123e-05
90,0.2,0.1,1.76052148974278e-05
90,0.2,0.2,1.70374170218062e-05
90,0.2,0.3,1.83658697141788e-05
90,0.3,0.05,9.37879186263541e-06
90,0.3,0.1,9.7264456824175e-06
90,0.3,0.2,1.10627128604037e-05
90,0.3,0.3,1.47167915083206e-05
