"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"1",6,"uniform",2,0,0.05,"replicator dynamics",6.84676952012016e-12,0.418831100846921,2.31399931740739e-31,1,0.791666666666667,0.638888888888889,0.752038698384578,0.752038698388255,0.999999831197117,5,0,1,"results/strategies/20140918-142411-295149-speaker.csv","results/strategies/20140918-142411-295149-hearer.csv",0.74040604480777,0.753049186389458
"2",6,"uniform",2,0,0.05,"replicator dynamics",1.38353544783717e-14,0.508699002155931,3.37769277239586e-22,1,875,0.722222222222222,0.693147180559936,0.693147180559945,0.99999987384749,5,0,1,"results/strategies/20140918-142411-646956-speaker.csv","results/strategies/20140918-142411-646956-hearer.csv",0.748260341472887,0.72017715164867
"3",6,"uniform",2,0,0.05,"replicator dynamics",9.68779359663712e-15,0.421462282707375,1.40734799790439e-24,1,0.833333333333333,0.888888888888889,0.752038698388132,0.752038698388137,0.999999841162991,7,0,1,"results/strategies/20140918-142412-002578-speaker.csv","results/strategies/20140918-142412-002578-hearer.csv",0.731061416521503,0.741966781534925
"4",6,"uniform",2,0,0.05,"replicator dynamics",3.76589446905498e-18,0.475081370732304,1,1,1,0.958333333333333,0.693147180559945,0.693147180559945,0.999999920493217,7,1,1,"results/strategies/20140918-142412-360580-speaker.csv","results/strategies/20140918-142412-360580-hearer.csv",0.738307729041949,0.741048842226608
"5",6,"uniform",2,0,0.05,"replicator dynamics",2.4179841338723e-20,0.38883215560599,1.07332471187538e-25,1,0.916666666666667,0.694444444444444,0.693147180559945,0.693147180559945,0.999999906602054,7,0,1,"results/strategies/20140918-142412-719749-speaker.csv","results/strategies/20140918-142412-719749-hearer.csv",0.74158195271408,0.732288900356883
"6",6,"uniform",2,0,0.05,"replicator dynamics",3.52038248188892e-10,0.380649802097355,2.71963936899366e-34,1,0.75,0.708333333333333,0.752038698205126,0.752038698395545,0.999999823228404,7,0,1,"results/strategies/20140918-142413-078992-speaker.csv","results/strategies/20140918-142413-078992-hearer.csv",0.70765189874591,0.749223521271292
"7",6,"uniform",2,0,0.05,"replicator dynamics",5.29572084338414e-10,0.52310186202248,1.43212762412692e-32,1,0.833333333333333,0.666666666666667,0.693147180192874,0.693147180559938,0.999999774928355,6,0,1,"results/strategies/20140918-142413-433802-speaker.csv","results/strategies/20140918-142413-433802-hearer.csv",0.749857335451223,0.687972036054431
"8",6,"uniform",2,0,0.05,"replicator dynamics",6.44846432552885e-12,0.490955176840981,1.87490954161625e-39,1,0.75,0.597222222222222,0.693147180555476,0.693147180559945,0.999999789453593,6,0,1,"results/strategies/20140918-142413-788202-speaker.csv","results/strategies/20140918-142413-788202-hearer.csv",0.74960985082037,0.745114766395285
"9",6,"uniform",2,0,0.05,"replicator dynamics",1.8867258424286e-11,0.555384952018907,1.19349534896363e-13,1,0.916666666666667,0.652777777777778,0.693147180546868,0.693147180559945,0.999999896432588,4,0,1,"results/strategies/20140918-142414-146452-speaker.csv","results/strategies/20140918-142414-146452-hearer.csv",0.748260341472719,0.710774298075643
"10",6,"uniform",2,0,0.05,"replicator dynamics",2.22347535872097e-09,0.338509434073508,3.89674995752126e-47,1,0.75,0.736111111111111,0.69314717901875,0.693147180559945,0.999999818933344,8,0,1,"results/strategies/20140918-142414-505385-speaker.csv","results/strategies/20140918-142414-505385-hearer.csv",0.749609850778871,0.762971569231669
"11",6,"uniform",2,0,0.05,"replicator dynamics",1.03434469218642e-18,0.553064915246579,1,1,1,875,0.752038698388137,0.752038698388137,0.999999917560748,6,1,1,"results/strategies/20140918-142414-859502-speaker.csv","results/strategies/20140918-142414-859502-hearer.csv",0.734009637952062,0.728776023053233
"12",6,"uniform",2,0,0.05,"replicator dynamics",4.0272218757348e-13,0.419307263876987,4.84497353803126e-28,1,0.916666666666667,0.652777777777778,0.987040513010168,0.987040513010984,0.999999837569904,8,0,1,"results/strategies/20140918-142415-220871-speaker.csv","results/strategies/20140918-142415-220871-hearer.csv",0.647568003654964,0.785714998206121
"13",6,"uniform",2,0,0.05,"replicator dynamics",3.46089406289584e-09,0.434617577449452,1,1,1,0.916666666666667,0.752038694789774,0.752038698306898,0.999999921410199,7,1,1,"results/strategies/20140918-142415-577500-speaker.csv","results/strategies/20140918-142415-577500-hearer.csv",0.695702092384548,0.711166422057244
"14",6,"uniform",2,0,0.05,"replicator dynamics",5.11381510872252e-13,0.478899392122905,4.37115066027107e-14,1,0.916666666666667,0.777777777777778,0.693147180559591,0.693147180559945,0.99999984817009,4,0,1,"results/strategies/20140918-142415-929291-speaker.csv","results/strategies/20140918-142415-929291-hearer.csv",0.750029378606249,0.697883229753422
"15",6,"uniform",2,0,0.05,"replicator dynamics",1.21153937518022e-11,0.523778609871477,1.68444158853426e-41,1,0.833333333333333,625,0.693147180551548,0.693147180559935,0.99999980362474,6,0,1,"results/strategies/20140918-142416-286948-speaker.csv","results/strategies/20140918-142416-286948-hearer.csv",0.706588297916026,0.70638484351426
"16",6,"uniform",2,0,0.05,"replicator dynamics",4.07012385331901e-11,0.370240851166467,6.31438139769607e-12,1,0.916666666666667,0.708333333333333,0.752038698345819,0.752038698387347,0.999999830401911,9,0,1,"results/strategies/20140918-142416-647849-speaker.csv","results/strategies/20140918-142416-647849-hearer.csv",0.725394903589783,0.725720953805941
"17",6,"uniform",2,0,0.05,"replicator dynamics",7.26159172908914e-12,0.283008753761573,0.999999999998944,1,1,0.680555555555556,0.987040512995905,0.987040513010582,0.999999851140791,6,1,1,"results/strategies/20140918-142417-011111-speaker.csv","results/strategies/20140918-142417-011111-hearer.csv",0.663322117178965,0.795967863936633
"18",6,"uniform",2,0,0.05,"replicator dynamics",2.60163000332229e-09,0.495445797896327,1.30385136799642e-39,1,0.916666666666667,0.666666666666667,0.693147178756633,0.693147180559945,0.999999869870174,9,0,1,"results/strategies/20140918-142417-464637-speaker.csv","results/strategies/20140918-142417-464637-hearer.csv",0.741581952647405,0.690898897306738
"19",6,"uniform",2,0,0.05,"replicator dynamics",5.74964912335581e-10,0.409644739213629,0.999999999900494,1,1,0.708333333333333,0.987040511815399,0.987040512971202,0.999999854449621,6,1,1,"results/strategies/20140918-142417-822820-speaker.csv","results/strategies/20140918-142417-822820-hearer.csv",0.691643681069287,0.773458287717261
"20",6,"uniform",2,0,0.05,"replicator dynamics",1.87684317999079e-13,0.482795528552713,2.41217770594583e-14,1,875,0.722222222222222,0.693147180559815,0.693147180559945,0.999999871866949,6,0,1,"results/strategies/20140918-142418-199370-speaker.csv","results/strategies/20140918-142418-199370-hearer.csv",0.756426010447348,0.744776623489224
"21",6,"uniform",2,0,0.05,"replicator dynamics",3.07625123330498e-12,0.531193825001492,8.49347987051109e-19,1,875,0.722222222222222,0.693147180557813,0.693147180559945,0.999999853015574,4,0,1,"results/strategies/20140918-142418-572838-speaker.csv","results/strategies/20140918-142418-572838-hearer.csv",0.756426010447319,0.730599853058953
"22",6,"uniform",2,0,0.05,"replicator dynamics",6.88522605286075e-14,0.510121448158491,6.82896289540658e-40,1,875,0.666666666666667,0.752038698388066,0.752038698388136,0.999999843778693,7,0,1,"results/strategies/20140918-142418-935602-speaker.csv","results/strategies/20140918-142418-935602-hearer.csv",0.7342141288247,0.736807738759241
"23",6,"uniform",2,0,0.05,"replicator dynamics",5.57674985945132e-15,0.607842795101935,4.40498457985688e-38,1,0.666666666666667,625,0.693147180559941,0.693147180559945,0.999999808974255,6,0,1,"results/strategies/20140918-142419-296756-speaker.csv","results/strategies/20140918-142419-296756-hearer.csv",0.706588297916212,0.663055576645378
"24",6,"uniform",2,0,0.05,"replicator dynamics",1.62061402069198e-09,0.440816826944163,2.93699130850504e-10,1,0.833333333333333,0.847222222222222,0.752038696703151,0.752038698351253,0.999999888848042,5,0,1,"results/strategies/20140918-142419-661659-speaker.csv","results/strategies/20140918-142419-661659-hearer.csv",0.718195831456858,0.745403188137396
"25",6,"uniform",2,0,0.05,"replicator dynamics",1.13925662697727e-12,0.435623603844825,4.08526740228581e-44,1,0.916666666666667,0.736111111111111,0.752038698386953,0.752038698388118,0.999999834808113,8,0,1,"results/strategies/20140918-142420-025018-speaker.csv","results/strategies/20140918-142420-025018-hearer.csv",0.731061416521497,0.734990773108671
"26",6,"uniform",2,0,0.05,"replicator dynamics",6.00981804386901e-10,0.441589491169579,9.27716792063409e-23,1,0.833333333333333,0.680555555555556,0.693147180143376,0.69314718055963,0.99999981773622,5,0,1,"results/strategies/20140918-142420-377686-speaker.csv","results/strategies/20140918-142420-377686-hearer.csv",0.756426010440633,0.758667515626203
"27",6,"uniform",2,0,0.05,"replicator dynamics",2.98864761905253e-10,0.507300862776527,9.52188032758203e-59,1,0.833333333333333,625,0.693147180352788,0.693147180559931,0.999999774928508,8,0,1,"results/strategies/20140918-142420-745308-speaker.csv","results/strategies/20140918-142420-745308-hearer.csv",0.749857335455428,0.685203062258864
"28",6,"uniform",2,0,0.05,"replicator dynamics",5.17434841515254e-10,0.494017270447577,1.81319722604717e-28,1,0.75,0.680555555555556,0.752038697850902,0.752038698377096,0.999999831194318,6,0,1,"results/strategies/20140918-142421-101002-speaker.csv","results/strategies/20140918-142421-101002-hearer.csv",0.740406044800636,0.738468902761101
"29",6,"uniform",2,0,0.05,"replicator dynamics",2.66175681840327e-14,0.594269760033405,7.6966739876822e-35,1,0.791666666666667,0.680555555555556,0.693147180559927,0.693147180559945,0.999999843789972,6,0,1,"results/strategies/20140918-142421-460837-speaker.csv","results/strategies/20140918-142421-460837-hearer.csv",0.713156131692704,0.689491817580719
