"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"1",6,"uniform",2,0,0.05,"replicator dynamics",2.00449097797548e-12,0.425258255504943,1.69358442388944e-36,1,0.833333333333333,0.625,0.693147180558556,0.693147180559208,0.999999828589738,9,0,1,"results/strategies/20150729-104745-427577-speaker.csv","results/strategies/20150729-104745-427577-hearer.csv",0.738578211793408,0.725478815046254
"2",6,"uniform",2,0,0.05,"replicator dynamics",1.24168920714492e-08,0.427003740339832,2.48096818037774e-09,1,0.916666666666667,0.763888888888889,0.752038691933087,0.752038689783501,0.999999854760296,7,0,1,"results/strategies/20150729-104745-895147-speaker.csv","results/strategies/20150729-104745-895147-hearer.csv",0.74670403816769,0.756170855497915
"3",6,"uniform",2,0,0.05,"replicator dynamics",1.22903901508803e-07,0.400336104335217,6.7643375892238e-29,1,0.916666666666667,0.708333333333333,0.693147095369453,0.693147174772302,0.99999985576129,8,0,1,"results/strategies/20150729-104746-309606-speaker.csv","results/strategies/20150729-104746-309606-hearer.csv",0.742704673953752,0.755192346241143
"4",6,"uniform",2,0,0.05,"replicator dynamics",3.29182774524486e-08,0.522505393728198,2.72500683277382e-24,1,0.666666666666667,0.680555555555556,0.75203868125388,0.752038674522978,0.999999798698632,4,0,1,"results/strategies/20150729-104746-703560-speaker.csv","results/strategies/20150729-104746-703560-hearer.csv",0.74631694146194,0.725949255075647
"5",6,"uniform",2,0,0.05,"replicator dynamics",1.25999651507464e-11,0.475672309349543,3.17403851167163e-62,1,0.833333333333333,0.652777777777778,0.693147180551212,0.693147180559348,0.99999977492964,9,0,1,"results/strategies/20150729-104747-124510-speaker.csv","results/strategies/20150729-104747-124510-hearer.csv",0.735687799956541,0.707810292994432
"6",6,"uniform",2,0,0.05,"replicator dynamics",4.86818914731162e-12,0.344418936090638,9.42549374101966e-44,1,0.916666666666667,0.763888888888889,0.752038698383076,0.752038698387932,0.99999990546932,10,0,1,"results/strategies/20150729-104747-546724-speaker.csv","results/strategies/20150729-104747-546724-hearer.csv",0.718764655334263,0.73196208861381
"7",6,"uniform",2,0,0.05,"replicator dynamics",2.43989266581014e-10,0.289261054622756,4.07118596780684e-11,1,0.833333333333333,0.847222222222222,0.693147180390825,0.693147180558775,0.99999989237837,8,0,1,"results/strategies/20150729-104747-981559-speaker.csv","results/strategies/20150729-104747-981559-hearer.csv",0.748059390417768,0.748010630303241
"8",6,"uniform",2,0,0.05,"replicator dynamics",5.07530193661148e-12,0.406458035510026,6.05025068717131e-25,1,0.666666666666667,0.569444444444444,0.693147180556427,0.693147180559122,0.999999806931468,7,0,1,"results/strategies/20150729-104748-392018-speaker.csv","results/strategies/20150729-104748-392018-hearer.csv",0.739582887203103,0.750631770596257
"9",6,"uniform",2,0,0.05,"replicator dynamics",2.45426665821483e-07,0.392086476550588,1.96725502817444e-29,1,0.833333333333333,0.791666666666667,0.693147010443147,0.693147179716581,0.999999819050641,10,0,1,"results/strategies/20150729-104748-810645-speaker.csv","results/strategies/20150729-104748-810645-hearer.csv",0.738028893650685,0.740583289629322
"10",6,"uniform",2,0,0.05,"replicator dynamics",1.42114690767608e-10,0.478946109697502,7.08751328661783e-65,1,0.833333333333333,0.597222222222222,0.752038698240378,0.752038698339318,0.999999808988831,8,0,1,"results/strategies/20150729-104749-227150-speaker.csv","results/strategies/20150729-104749-227150-hearer.csv",0.718366240156841,0.751842992606782
"11",6,"uniform",2,0,0.05,"replicator dynamics",3.37381033119887e-09,0.38594234877015,3.50375447138508e-42,1,0.791666666666667,0.708333333333333,0.693147178221398,0.693147180544301,0.999999841569607,10,0,1,"results/strategies/20150729-104749-653449-speaker.csv","results/strategies/20150729-104749-653449-hearer.csv",0.742704675465954,0.732970214943847
"12",6,"uniform",2,0,0.05,"replicator dynamics",1.51199758524445e-07,0.54301037272442,6.00410417853551e-26,1,0.833333333333333,0.75,0.69314707575626,0.693147158298067,0.999999843268496,7,0,1,"results/strategies/20150729-104750-068411-speaker.csv","results/strategies/20150729-104750-068411-hearer.csv",0.742704672388589,0.706146638713366
"13",6,"uniform",2,0,0.05,"replicator dynamics",7.65235057616449e-10,0.38524162472878,6.32595595804018e-48,1,0.791666666666667,0.694444444444444,0.752038697592506,0.752038698356309,0.999999831195896,9,0,1,"results/strategies/20150729-104750-491969-speaker.csv","results/strategies/20150729-104750-491969-hearer.csv",0.713191510757239,0.782021371161756
"14",6,"uniform",2,0,0.05,"replicator dynamics",4.9658984564829e-12,0.356027186496309,4.05853128018688e-28,1,0.833333333333333,0.694444444444444,0.752038698382974,0.752038698387565,0.999999830030207,7,0,1,"results/strategies/20150729-104750-908366-speaker.csv","results/strategies/20150729-104750-908366-hearer.csv",0.766260030085886,0.779146412105996
"15",6,"uniform",2,0,0.05,"replicator dynamics",6.71616274003494e-11,0.272567353096638,8.3635876542715e-98,1,0.75,0.611111111111111,0.693147180513393,0.69314718055991,0.999999774929685,11,0,1,"results/strategies/20150729-104751-340716-speaker.csv","results/strategies/20150729-104751-340716-hearer.csv",0.73568779995548,0.798912909732679
